user_id,signup_date,channel
83401,2019-01-10,ORGANIC
91888,2019-01-10,ORGANIC
55010,2019-01-08,ORGANIC
77134,2019-01-22,EMAIL
27708,2019-01-10,EMAIL
82541,2019-01-13,PPC
39955,2019-01-03,PPC
99156,2019-01-11,PPC
97058,2019-01-16,EMAIL
59649,2019-01-13,PPC
59748,2019-01-21,PPC
16280,2019-01-17,EMAIL
90905,2019-01-04,PPC
73890,2019-01-04,EMAIL
38651,2019-01-05,PPC
95552,2019-01-18,EMAIL
75212,2019-01-08,ORGANIC
46829,2019-01-10,ORGANIC
12325,2019-01-12,ORGANIC
40914,2019-01-27,PPC
60092,2019-01-23,PPC
7149,2019-01-16,ORGANIC
88551,2019-01-20,ORGANIC
67059,2019-01-15,ORGANIC
51979,2019-01-23,ORGANIC
55966,2019-01-24,ORGANIC
46915,2019-01-23,PPC
12626,2019-01-14,ORGANIC
61559,2019-01-09,PPC
58613,2019-01-20,EMAIL
95925,2019-01-21,EMAIL
55310,2019-01-21,PPC
15913,2019-01-12,PPC
49070,2019-01-07,PPC
47407,2019-01-18,PPC
21203,2019-01-20,ORGANIC
52401,2019-01-11,ORGANIC
75604,2019-01-19,ORGANIC
42474,2019-01-09,PPC
44377,2019-01-14,ORGANIC
53120,2019-01-12,PPC
13432,2019-01-09,ORGANIC
51290,2019-01-20,ORGANIC
23816,2019-01-12,EMAIL
69912,2019-01-20,ORGANIC
17259,2019-01-23,ORGANIC
73952,2019-01-16,PPC
98000,2019-01-18,ORGANIC
16768,2019-01-08,ORGANIC
51529,2019-01-08,ORGANIC
88673,2019-01-15,ORGANIC
43758,2019-01-21,ORGANIC
7472,2019-01-16,PPC
91263,2019-01-18,ORGANIC
34005,2019-01-12,ORGANIC
61009,2019-01-22,ORGANIC
58459,2019-01-03,ORGANIC
1919,2019-01-16,ORGANIC
68867,2019-01-24,ORGANIC
14029,2019-01-16,EMAIL
29636,2019-01-11,PPC
16630,2019-01-07,PPC
31819,2019-01-23,EMAIL
51036,2019-01-03,PPC
77251,2019-01-18,ORGANIC
75042,2019-01-09,EMAIL
97033,2019-01-23,PPC
93870,2019-01-11,ORGANIC
82400,2019-01-05,ORGANIC
94788,2019-01-23,EMAIL
62945,2019-01-02,PPC
15743,2019-01-03,PPC
26033,2019-01-04,ORGANIC
94653,2019-01-21,PPC
4819,2019-01-03,ORGANIC
75139,2019-01-25,ORGANIC
54973,2019-01-09,ORGANIC
96350,2019-01-08,ORGANIC
50450,2019-01-20,PPC
10697,2019-01-10,ORGANIC
17895,2019-01-10,ORGANIC
68328,2019-01-12,ORGANIC
92429,2019-01-05,PPC
24629,2019-01-25,ORGANIC
80334,2019-01-20,ORGANIC
91571,2019-01-02,ORGANIC
85485,2019-01-05,PPC
87946,2019-01-08,ORGANIC
53997,2019-01-23,ORGANIC
48660,2019-01-19,PPC
32321,2019-01-04,EMAIL
98781,2019-01-13,ORGANIC
10584,2019-01-15,ORGANIC
51060,2019-01-08,ORGANIC
21399,2019-01-24,ORGANIC
65366,2019-01-11,PPC
22531,2019-01-06,ORGANIC
3837,2019-01-12,ORGANIC
16040,2019-01-24,ORGANIC
95170,2019-01-07,PPC
38362,2019-01-21,ORGANIC
42411,2019-01-13,ORGANIC
98506,2019-01-21,EMAIL
39355,2019-01-21,PPC
20304,2019-01-20,ORGANIC
46668,2019-01-07,PPC
35815,2019-01-08,ORGANIC
90998,2019-01-16,ORGANIC
71493,2019-01-07,ORGANIC
23098,2019-01-20,ORGANIC
51551,2019-01-14,ORGANIC
41546,2019-01-18,ORGANIC
46351,2019-01-09,PPC
41866,2019-01-19,PPC
5884,2019-01-18,ORGANIC
49950,2019-01-17,ORGANIC
93962,2019-01-24,PPC
37450,2019-01-18,ORGANIC
49451,2019-01-21,ORGANIC
10580,2019-01-03,PPC
95076,2019-01-13,ORGANIC
64015,2019-01-12,EMAIL
44124,2019-01-23,ORGANIC
98879,2019-01-03,ORGANIC
66880,2019-01-04,ORGANIC
34452,2019-01-03,PPC
75280,2019-01-11,ORGANIC
39231,2019-01-27,PPC
7113,2019-01-17,PPC
44178,2019-01-19,PPC
95737,2019-01-13,ORGANIC
23270,2019-01-10,PPC
30697,2019-01-03,ORGANIC
39788,2019-01-03,PPC
18572,2019-01-04,ORGANIC
74001,2019-01-24,PPC
51192,2019-01-15,PPC
22438,2019-01-09,PPC
37989,2019-01-09,PPC
5373,2019-01-06,ORGANIC
96953,2019-01-19,ORGANIC
